TIMESTAMP,X,Y,Z
1418659751211,-0.015625,-0.265625,0.0
1418659751308,-0.015625,-0.265625,0.0
1418659751405,-0.015625,-0.265625,0.0
1418659751503,-0.015625,-0.265625,0.0
1418659751600,-0.015625,-0.265625,0.0
1418659751698,-0.015625,-0.265625,0.0
1418659751795,-0.015625,-0.265625,0.0
1418659751893,-0.015625,-0.265625,0.015625
1418659751990,-0.015625,-0.265625,0.0
1418659752088,-0.015625,-0.265625,0.0
1418659752185,-0.015625,-0.265625,0.015625
1418659752283,-0.015625,-0.265625,0.0
1418659752380,-0.015625,-0.265625,0.0
1418659752478,-0.015625,-0.265625,0.015625
1418659752624,-0.015625,-0.265625,0.0
1418659752722,-0.015625,-0.265625,0.015625
1418659752820,-0.015625,-0.265625,0.0
1418659752917,-0.015625,-0.265625,0.015625
1418659753014,-0.015625,-0.265625,0.015625
1418659753112,-0.015625,-0.265625,0.015625
1418659753210,-0.015625,-0.265625,0.015625
1418659753307,-0.015625,-0.265625,0.015625
1418659753404,-0.015625,-0.265625,0.015625
1418659753502,-0.015625,-0.265625,0.015625
1418659753600,-0.015625,-0.265625,0.015625
1418659753697,-0.015625,-0.265625,0.015625
1418659753795,-0.015625,-0.265625,0.015625
1418659753892,-0.015625,-0.265625,0.015625
1418659753989,-0.015625,-0.265625,0.015625
1418659754087,-0.015625,-0.265625,0.015625
1418659754233,-0.015625,-0.265625,0.015625
1418659754331,-0.015625,-0.265625,0.015625
1418659754428,-0.015625,-0.265625,0.015625
1418659754526,-0.015625,-0.265625,0.015625
1418659754623,-0.015625,-0.265625,0.015625
1418659754722,-0.015625,-0.265625,0.015625
1418659754819,-0.015625,-0.265625,0.015625
1418659754917,-0.015625,-0.265625,0.015625
1418659755014,-0.015625,-0.265625,0.015625
1418659755115,-0.015625,-0.265625,0.015625
1418659755209,-0.015625,-0.265625,0.015625
1418659755308,-0.015625,-0.265625,0.015625
1418659755408,-0.015625,-0.265625,0.015625
1418659755510,-0.015625,-0.25,0.015625
1418659755604,-0.015625,-0.265625,0.015625
1418659755704,-0.015625,-0.265625,0.015625
1418659755800,-0.015625,-0.265625,0.015625
1418659755891,-0.015625,-0.265625,0.015625
1418659755994,-0.015625,-0.265625,0.015625
1418659756141,-0.015625,-0.265625,0.015625
1418659756234,-0.015625,-0.265625,0.015625
1418659756335,-0.015625,-0.265625,0.015625
1418659756433,-0.015625,-0.265625,0.015625
1418659756531,-0.015625,-0.265625,0.015625
1418659756627,0.0,-0.265625,0.015625
1418659756725,-0.015625,-0.265625,0.015625
1418659756823,-0.015625,-0.265625,0.015625
1418659756915,0.0,-0.265625,0.015625
1418659757012,-0.015625,-0.265625,0.015625
1418659757115,-0.015625,-0.265625,0.015625
1418659757207,0.0,-0.265625,0.015625
1418659757304,-0.015625,-0.265625,0.015625
1418659757417,-0.015625,-0.265625,0.015625
1418659757504,-0.03125,-0.265625,0.015625
1418659757604,-0.015625,-0.265625,0.015625
1418659757704,0.0,-0.265625,0.015625
1418659757806,-0.015625,-0.25,0.015625
1418659757895,-0.015625,-0.265625,0.015625
1418659758042,-0.015625,-0.265625,0.015625
1418659758138,0.0,-0.265625,0.015625
1418659758241,0.0,-0.265625,0.015625
1418659758328,-0.015625,-0.265625,0.015625
1418659758425,-0.015625,-0.265625,0.015625
1418659758528,-0.015625,-0.265625,0.015625
1418659758621,0.0,-0.265625,0.015625
1418659758725,-0.015625,-0.265625,0.015625
1418659758826,0.0,-0.25,0.015625
1418659758919,0.0,-0.265625,0.015625
1418659759015,-0.015625,-0.265625,0.015625
1418659759115,-0.015625,-0.265625,0.015625
1418659759226,-0.015625,-0.265625,0.015625
1418659759312,-0.015625,-0.265625,0.015625
1418659759409,-0.015625,-0.265625,0.015625
1418659759505,-0.015625,-0.265625,0.015625
1418659759600,-0.015625,-0.265625,0.015625
1418659759703,0.0,-0.265625,0.015625
1418659759799,-0.015625,-0.265625,0.015625
